Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20168718,Brussels,Brussels,Brussels,Saint-Gilles,1060,Rue Saint-Bernard - Sint-Bernardusstraat,179000,APARTMENT,FLAT_STUDIO,1970,GOOD,INSTALLED,2,6,C,0,0,1,0,0,0,1.0,,,,,,https://www.immoweb.be/en/classified/flat-studio/for-sale/saint-gilles/1060/20168718,residential_sale,FOR_SALE,0
20203940,Brussels,Brussels,Brussels,Brussel,1000,Diksmuidelaan,195000,APARTMENT,APARTMENT,2011,AS_NEW,HYPER_EQUIPPED,2,7,D,1,0,1,0,0,1,1.0,60,2,,,,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20203940,residential_sale,FOR_SALE,0
20203979,Brussels,Brussels,Brussels,ANDERLECHT,1070,Avenue Docteur Zamenhof,155000,APARTMENT,APARTMENT,,GOOD,,,20,C,1,0,0,0,0,0,1.0,55,7,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20203979,residential_sale,FOR_SALE,0
20203970,Brussels,Brussels,Brussels,Uccle,1180,Chaussée d'Alsemberg,185000,APARTMENT,FLAT_STUDIO,1966,GOOD,INSTALLED,4,9,G,0,1,1,0,0,0,0.0,37,,18,,,https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/20203970,residential_sale,FOR_SALE,0
20199917,Brussels,Brussels,Brussels,SCHAERBEEK,1030,Rue Gaucheret,265000,APARTMENT,APARTMENT,,GOOD,INSTALLED,2,3,D,0,0,1,0,0,0,3.0,105,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20199917,residential_sale,FOR_SALE,0
20156981,Brussels,Brussels,Brussels,Anderlecht,1070,,349000,HOUSE,HOUSE,1955,,INSTALLED,3,2,G,0,1,1,0,0,0,3.0,135,,130,0,230,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20156981,residential_sale,FOR_SALE,0
20203876,Brussels,Brussels,Brussels,Forest,1190,,695000,HOUSE,HOUSE,,GOOD,USA_HYPER_EQUIPPED,2,,F,1,0,1,1,0,0,5.0,240,30,,6,240,https://www.immoweb.be/en/classified/house/for-sale/forest/1190/20203876,residential_sale,FOR_SALE,0
20203841,Brussels,Brussels,Brussels,Uccle,1180,Avenue du Gui,2690000,APARTMENT,APARTMENT,,,INSTALLED,,1,D,1,1,1,1,0,0,5.0,557,30,1200,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20203841,residential_sale,FOR_SALE,0
20203862,Brussels,Brussels,Brussels,Auderghem,1160,Avenue de Beaulieu,595000,APARTMENT,DUPLEX,1990,GOOD,,3,5,D,1,0,0,0,0,0,3.0,162,11,,,,https://www.immoweb.be/en/classified/duplex/for-sale/auderghem/1160/20203862,residential_sale,FOR_SALE,0
20203720,Brussels,Brussels,Brussels,Bruxelles,1000,,350000,APARTMENT,APARTMENT,,GOOD,,,,D,0,0,0,0,0,0,3.0,163,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20203720,residential_sale,FOR_SALE,0
20203711,Brussels,Brussels,Brussels,Anderlecht,1070,Clos Mudra,365000,APARTMENT,APARTMENT,2008,AS_NEW,INSTALLED,2,3,B,1,0,1,0,0,0,2.0,114,16,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20203711,residential_sale,FOR_SALE,0
20203608,Brussels,Brussels,Brussels,Bruxelles,1020,Avenue Des Croix Du Feu - Vuurkruisenlaan,230000,APARTMENT,APARTMENT,,GOOD,,,3,E,0,0,0,0,0,0,2.0,,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/20203608,residential_sale,FOR_SALE,0
20203719,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Boulevard du Jubilé,350000,APARTMENT,APARTMENT,,GOOD,,,,D,0,0,0,0,0,0,3.0,163,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20203719,residential_sale,FOR_SALE,0
20203649,Brussels,Brussels,Brussels,Bruxelles,1000,,799000,HOUSE,APARTMENT_BLOCK,,,,2,4,D,1,0,0,0,0,0,5.0,220,6,,8,50,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/20203649,residential_sale,FOR_SALE,0
20203599,Brussels,Brussels,Brussels,GANSHOREN,1083,,200000,APARTMENT,APARTMENT,1964,TO_RENOVATE,SEMI_EQUIPPED,,6,G,1,0,1,0,0,0,2.0,75,11,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20203599,residential_sale,FOR_SALE,0
20203717,Brussels,Brussels,Brussels,Uccle,1180,Rue des Trois Rois,375000,APARTMENT,APARTMENT,2003,GOOD,HYPER_EQUIPPED,3,3,D,0,0,1,0,0,0,3.0,100,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20203717,residential_sale,FOR_SALE,0
20147161,Brussels,Brussels,Brussels,Brussel,1000,Diksmuidelaan,149000,APARTMENT,FLAT_STUDIO,2011,GOOD,,,,F,0,0,0,0,0,0,0.0,33,,,,,https://www.immoweb.be/en/classified/flat-studio/for-sale/brussel/1000/20147161,residential_sale,FOR_SALE,0
20203690,Brussels,Brussels,Brussels,Ixelles,1050,Rue Souveraine,435000,APARTMENT,DUPLEX,1980,AS_NEW,HYPER_EQUIPPED,2,3,G,0,0,1,0,0,0,2.0,112,,,,,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/20203690,residential_sale,FOR_SALE,0
11464911,Brussels,Brussels,Brussels,JETTE,1090,Avenue de l'Arbre Ballon,182500,APARTMENT,APARTMENT,1971,TO_BE_DONE_UP,,,20,D,1,0,0,0,0,0,2.0,75,13,,,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/11464911,residential_sale,FOR_SALE,0
20203402,Brussels,Brussels,Brussels,Forest,1190,Rue de la Soierie,345000,APARTMENT,DUPLEX,,AS_NEW,HYPER_EQUIPPED,2,4,D,1,1,1,0,0,0,3.0,124,35,35,,,https://www.immoweb.be/en/classified/duplex/for-sale/forest/1190/20203402,residential_sale,FOR_SALE,0
20203401,Brussels,Brussels,Brussels,Bruxelles,1120,Avenue du Roi Albert,310000,APARTMENT,APARTMENT,2016,AS_NEW,INSTALLED,3,3,B,1,0,1,0,0,0,2.0,75,9,,,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1120/20203401,residential_sale,FOR_SALE,0
20203543,Brussels,Brussels,Brussels,Jette,1090,,660000,HOUSE,HOUSE,1900,AS_NEW,,3,3,G,1,1,0,0,0,0,5.0,250,60,10,0,0,https://www.immoweb.be/en/classified/house/for-sale/jette/1090/20203543,residential_sale,FOR_SALE,0
20203563,Brussels,Brussels,Brussels,Bruxelles,1000,Rue Cuerens,890000,HOUSE,HOUSE,1882,TO_BE_DONE_UP,,2,4,E,0,0,0,0,0,0,10.0,674,,,10,229,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/20203563,residential_sale,FOR_SALE,0
20203498,Brussels,Brussels,Brussels,ANDERLECHT,1070,Rue Buffon,385000,HOUSE,TOWN_HOUSE,1952,GOOD,INSTALLED,2,2,G,1,0,1,0,0,0,3.0,123,14,,0,0,https://www.immoweb.be/en/classified/town-house/for-sale/anderlecht/1070/20203498,residential_sale,FOR_SALE,0
20240169,Flanders,East Flanders,Oudenaarde,Ronse,9600,Nachtegaalstraat,239000,HOUSE,HOUSE,,GOOD,,,,C,0,0,0,0,0,0,4.0,,,,0,453,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20240169,residential_sale,FOR_SALE,0
20203368,Brussels,Brussels,Brussels,Saint-Gilles,1060,,550000,HOUSE,HOUSE,1931,TO_RENOVATE,SEMI_EQUIPPED,2,4,E,0,1,1,0,0,0,6.0,245,,90,0,0,https://www.immoweb.be/en/classified/house/for-sale/saint-gilles/1060/20203368,residential_sale,FOR_SALE,0
