Property ID,Locality,PostalCode,Price,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,Kitchen,Furnished,Open_fire,Terrace_Area,Garden_Area,FacadeCount,SwimmingPool,StateBuilding,LifeAnnuitySale,RoomCount,ToiletCount,BathroomCount,ShowerCount,ScrapedURL
20195509,Schilde,2970,635000.0,HOUSE,HOUSE,FOR_SALE,5,252.0,1,0,0,,,2.0,0,GOOD,0,,,1.0,,https://www.immoweb.be/en/classified/house/for-sale/schilde/2970/20195509
20195494,PUURS-SINT-AMANDS,2890,715000.0,HOUSE,VILLA,FOR_SALE,4,210.0,1,0,1,,,4.0,0,GOOD,0,,2.0,1.0,0.0,https://www.immoweb.be/en/classified/villa/for-sale/puurs-sint-amands/2890/20195494
20195469,HOBOKEN,2660,279500.0,HOUSE,HOUSE,FOR_SALE,3,105.0,1,0,0,,25.0,2.0,0,AS_NEW,0,,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20195469
20195467,Balen,2490,265000.0,HOUSE,HOUSE,FOR_SALE,4,167.0,1,0,0,,,4.0,0,TO_RENOVATE,0,,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20195467
20109894,GEEL,2440,270000.0,APARTMENT,APARTMENT,FOR_SALE,3,134.0,1,0,0,12.0,139.0,3.0,0,GOOD,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/geel/2440/20109894
20195466,MOL,2400,315000.0,HOUSE,HOUSE,FOR_SALE,4,195.0,1,0,0,,,4.0,0,TO_RENOVATE,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20195466
20185435,ANTWERPEN,2018,780000.0,APARTMENT,APARTMENT,FOR_SALE,3,238.0,1,0,0,15.0,,,0,GOOD,0,,2.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20185435
20195422,Mechelen,2800,559000.0,HOUSE,HOUSE,FOR_SALE,4,240.0,1,0,1,55.0,20.0,2.0,0,GOOD,0,,2.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20195422
20195408,Sint-Job-in-'t-Goor,2960,895000.0,HOUSE,HOUSE,FOR_SALE,4,271.0,1,0,1,,,4.0,0,AS_NEW,0,,,2.0,,https://www.immoweb.be/en/classified/house/for-sale/sint-job-in-t-goor/2960/20195408
20195383,Sint-Katelijne-Waver,2860,597000.0,HOUSE,HOUSE,FOR_SALE,6,210.0,1,0,0,50.0,250.0,3.0,0,AS_NEW,0,,2.0,2.0,,https://www.immoweb.be/en/classified/house/for-sale/sint-katelijne-waver/2860/20195383
20195382,Putte,2580,369000.0,APARTMENT,APARTMENT,FOR_SALE,2,85.0,1,0,0,20.0,200.0,2.0,0,AS_NEW,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/20195382
20195295,Antwerpen (2020),2020,325000.0,APARTMENT,APARTMENT,FOR_SALE,2,110.0,1,0,0,,,,0,GOOD,0,2.0,0.0,0.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2020/2020/20195295
20195281,Emblem,2520,269000.0,HOUSE,HOUSE,FOR_SALE,1,124.0,1,0,0,,,,0,TO_RENOVATE,0,9.0,0.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/emblem/2520/20195281
20195280,Wilrijk,2610,235000.0,APARTMENT,APARTMENT,FOR_SALE,2,88.0,1,0,0,6.0,,,0,,0,8.0,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20195280
20195275,Willebroek,2830,224000.0,HOUSE,HOUSE,FOR_SALE,3,,0,0,0,,40.0,2.0,0,TO_BE_DONE_UP,0,1.0,1.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/20195275
20195209,Heist-op-den-Berg,2220,339000.0,APARTMENT,APARTMENT,FOR_SALE,2,,1,0,0,,,,0,GOOD,0,12.0,2.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/heist-op-den-berg/2220/20195209
